Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
-0.402226,0.086191,9.682152,0.000000,-0.003196,0.001065
-0.380678,-0.007183,9.718064,0.001065,-0.001065,-0.004261
-0.366313,0.000000,9.797073,0.007457,-0.004261,-0.003196
-0.402226,-0.021548,9.768343,0.009588,-0.002131,0.000000
-0.344765,-0.014365,9.732430,0.008522,-0.001065,0.005326
-0.402226,0.014365,9.753978,0.010653,-0.004261,0.005326
-0.316035,0.050278,9.746795,0.006392,0.000000,-0.005326
-0.481235,0.000000,9.775525,0.000000,0.000000,-0.002131
-0.402226,-0.007183,9.768343,0.001065,-0.002131,-0.004261
-0.430956,0.050278,9.696517,0.003196,0.000000,-0.007457
-0.481235,-0.014365,9.753978,0.005326,-0.005326,-0.007457
-0.452504,0.007183,9.732430,0.003196,-0.004261,-0.005326
-0.423774,0.028730,9.746795,0.005326,0.001065,0.000000
-0.402226,-0.021548,9.739613,0.000000,-0.002131,-0.002131
-0.359130,-0.007183,9.631873,0.000000,-0.004261,0.000000
-0.423774,0.086191,9.768343,0.008522,-0.008522,0.001065
-0.402226,0.014365,9.832987,0.009588,-0.003196,-0.007457
-0.416591,0.043096,9.753978,0.005326,0.000000,-0.004261
-0.387861,-0.035913,9.775525,0.001065,0.006392,0.002131
-0.402226,0.043096,9.739613,0.001065,-0.002131,-0.004261
-0.409408,-0.086191,9.761160,0.000000,-0.002131,-0.007457
-0.430956,0.000000,9.782708,0.005326,-0.001065,-0.003196
-0.423774,-0.028730,9.753978,0.007457,-0.006392,-0.001065
-0.359130,0.021548,9.653421,0.002131,-0.003196,-0.001065
-0.423774,-0.028730,9.775525,0.001065,-0.002131,-0.003196
-0.459687,-0.014365,9.682152,0.002131,-0.005326,-0.003196
-0.344765,0.000000,9.725247,0.009588,-0.002131,0.001065
-0.344765,-0.021548,9.710882,0.005326,0.000000,0.002131
-0.445322,0.021548,9.703699,0.003196,0.001065,0.002131
-0.402226,0.093374,9.689334,0.006392,-0.001065,-0.002131
-0.423774,-0.028730,9.646238,0.001065,-0.007457,-0.003196
-0.366313,0.007183,9.739613,0.002131,-0.004261,-0.001065
-0.366313,0.021548,9.861717,0.010653,-0.009588,-0.006392
-0.430956,0.028730,9.782708,0.005326,-0.001065,-0.001065
-0.416591,0.100556,9.703699,-0.001065,0.001065,0.006392
-0.445322,0.079009,9.768343,0.003196,-0.002131,-0.006392
-0.445322,-0.028730,9.789890,0.007457,-0.006392,0.004261
-0.395043,-0.064643,9.782708,0.004261,0.001065,0.002131
-0.366313,0.028730,9.797073,0.005326,-0.002131,-0.003196
-0.452504,0.035913,9.761160,0.006392,-0.007457,0.002131
-0.445322,-0.057461,9.703699,0.002131,-0.006392,-0.001065
-0.387861,0.079009,9.753978,0.001065,-0.009588,-0.003196
-0.430956,0.028730,9.775525,0.006392,-0.007457,0.000000
-0.344765,0.000000,9.847352,0.007457,0.000000,0.000000
-0.430956,0.035913,9.746795,0.011718,0.001065,-0.002131
-0.452504,-0.057461,9.725247,0.005326,0.004261,-0.003196
-0.395043,-0.007183,9.703699,-0.003196,0.000000,-0.002131
-0.373495,-0.043096,9.703699,0.000000,-0.001065,-0.001065
-0.423774,0.050278,9.768343,0.006392,-0.005326,0.003196
-0.316035,0.086191,9.746795,0.009588,-0.007457,0.004261
-0.474052,0.079009,9.718064,0.004261,-0.003196,-0.003196
-0.366313,0.028730,9.710882,0.000000,-0.004261,-0.001065
-0.395043,0.043096,9.761160,0.002131,-0.005326,0.001065
-0.423774,-0.028730,9.761160,0.001065,-0.008522,0.002131
-0.387861,0.007183,9.725247,0.002131,-0.003196,-0.003196
-0.395043,-0.043096,9.710882,0.009588,-0.004261,-0.004261
-0.344765,0.071826,9.789890,0.004261,-0.002131,0.002131
-0.373495,0.057461,9.789890,0.006392,0.000000,-0.004261
-0.416591,-0.050278,9.782708,0.001065,-0.004261,-0.001065
-0.387861,0.028730,9.804255,0.001065,-0.001065,0.001065
-0.459687,0.064643,9.703699,0.003196,-0.003196,-0.004261
-0.380678,0.021548,9.739613,0.006392,-0.003196,-0.002131
-0.423774,0.014365,9.753978,0.005326,0.000000,0.004261
-0.495600,0.050278,9.718064,-0.001065,-0.006392,-0.002131
-0.395043,0.050278,9.797073,0.002131,-0.005326,-0.012784
-0.430956,0.035913,9.739613,0.005326,0.000000,-0.003196
-0.452504,-0.028730,9.718064,0.009588,-0.005326,-0.003196
-0.438139,0.007183,9.753978,0.002131,-0.005326,-0.005326
-0.430956,-0.007183,9.696517,0.004261,-0.002131,-0.003196
-0.373495,0.086191,9.732430,0.007457,-0.005326,0.003196
-0.445322,-0.007183,9.761160,0.006392,-0.001065,0.000000
-0.409408,-0.007183,9.710882,0.004261,0.003196,0.002131
-0.387861,0.071826,9.768343,0.006392,-0.003196,-0.001065
-0.402226,0.064643,9.739613,0.002131,-0.006392,-0.008522
-0.423774,-0.014365,9.811439,0.001065,-0.004261,0.000000
-0.351948,0.035913,9.753978,0.002131,0.002131,0.001065
-0.337582,-0.021548,9.660604,0.007457,-0.002131,0.001065
-0.402226,0.064643,9.739613,0.002131,-0.002131,0.011718
-0.351948,0.021548,9.782708,0.000000,0.001065,0.000000
-0.452504,0.028730,9.710882,0.001065,-0.004261,-0.007457
-0.387861,-0.014365,9.775525,0.005326,-0.003196,-0.003196
-0.344765,0.079009,9.732430,-0.003196,-0.003196,0.000000
-0.359130,-0.014365,9.782708,0.002131,-0.006392,-0.002131
-0.344765,0.086191,9.739613,0.009588,-0.008522,-0.001065
-0.323217,0.000000,9.732430,0.009588,-0.001065,0.000000
-0.430956,0.028730,9.883265,0.002131,-0.004261,0.003196
-0.351948,0.057461,9.739613,0.005326,-0.001065,-0.004261
-0.409408,-0.050278,9.739613,0.006392,-0.005326,0.001065
-0.395043,-0.007183,9.775525,0.004261,-0.006392,0.001065
-0.395043,0.043096,9.718064,0.008522,0.001065,-0.009588
-0.395043,0.028730,9.847352,0.006392,0.000000,0.001065
-0.380678,-0.028730,9.761160,0.006392,-0.006392,0.000000
-0.387861,0.050278,9.718064,0.007457,-0.002131,-0.001065
-0.430956,-0.043096,9.689334,-0.003196,0.003196,-0.001065
-0.395043,-0.057461,9.825804,0.002131,-0.003196,0.002131
-0.423774,0.071826,9.746795,0.005326,-0.007457,-0.002131
-0.402226,0.043096,9.775525,0.004261,0.000000,-0.010653
-0.423774,-0.021548,9.732430,0.000000,-0.002131,-0.008522
-0.474052,0.100556,9.588778,0.006392,-0.001065,0.008522
-0.373495,-0.035913,9.710882,0.002131,-0.005326,0.003196
-0.409408,0.007183,9.682152,0.008522,-0.001065,-0.007457
-0.430956,0.021548,9.804255,0.002131,-0.009588,-0.005326
-0.445322,-0.028730,9.732430,-0.002131,-0.004261,0.003196
-0.380678,0.071826,9.696517,0.004261,0.002131,-0.002131
-0.474052,-0.014365,9.689334,0.010653,0.002131,-0.008522
-0.395043,0.071826,9.782708,0.004261,0.003196,-0.002131
-0.373495,-0.021548,9.718064,-0.001065,-0.005326,0.006392
-0.474052,-0.136469,9.761160,0.000000,-0.006392,0.002131
-0.387861,-0.035913,9.674969,0.003196,-0.006392,-0.002131
-0.395043,0.035913,9.818622,0.011718,-0.005326,-0.002131
-0.366313,-0.050278,9.746795,0.006392,-0.003196,0.007457
-0.387861,-0.043096,9.753978,0.002131,0.000000,-0.003196
-0.344765,0.050278,9.804255,0.001065,-0.001065,-0.009588
-0.395043,0.000000,9.710882,0.004261,-0.011718,-0.002131
-0.423774,0.050278,9.761160,0.010653,-0.006392,0.002131
-0.474052,-0.021548,9.761160,0.010653,-0.002131,0.003196
-0.344765,0.035913,9.761160,0.002131,-0.006392,-0.001065
-0.387861,0.107739,9.761160,0.003196,0.001065,-0.002131
-0.474052,0.000000,9.739613,0.006392,-0.005326,-0.004261
-0.359130,-0.007183,9.732430,-0.001065,-0.008522,0.005326
-0.316035,0.050278,9.753978,0.002131,0.000000,0.000000
-0.430956,0.064643,9.768343,-0.001065,0.002131,-0.003196
-0.330400,0.064643,9.782708,0.004261,-0.003196,0.001065
-0.409408,-0.007183,9.682152,0.004261,-0.003196,-0.001065
-0.402226,0.050278,9.739613,0.003196,-0.002131,0.001065
-0.373495,0.057461,9.689334,0.003196,0.001065,0.001065
-0.337582,0.035913,9.768343,0.005326,0.002131,-0.005326
-0.445322,0.028730,9.739613,0.009588,-0.007457,-0.001065
-0.438139,0.064643,9.753978,0.009588,-0.009588,-0.005326
-0.430956,0.000000,9.789890,0.000000,-0.006392,-0.001065
-0.452504,0.071826,9.718064,0.002131,0.002131,0.006392
-0.380678,0.057461,9.775525,0.008522,-0.004261,0.000000
-0.359130,0.043096,9.789890,0.008522,-0.006392,-0.002131
-0.416591,0.035913,9.696517,-0.003196,-0.004261,0.002131
-0.387861,0.114922,9.775525,-0.001065,0.001065,-0.003196
-0.466869,0.071826,9.667787,0.009588,-0.009588,-0.006392
-0.402226,0.007183,9.847352,0.002131,-0.011718,-0.005326
-0.380678,0.007183,9.761160,0.007457,-0.002131,-0.002131
-0.373495,0.057461,9.739613,0.005326,0.000000,-0.003196
-0.387861,-0.014365,9.710882,0.005326,0.003196,0.004261
-0.366313,0.035913,9.739613,0.004261,0.000000,0.003196
-0.380678,0.064643,9.782708,0.000000,-0.004261,-0.002131
