Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.025797,-0.088265,-9.567211,-0.001373,0.000904,-0.001437,-585.628723,-323.350281,977.369080
0.083057,-0.059635,-9.696048,-0.004469,-0.004523,-0.002402,-585.628723,-323.350281,977.369080
0.004324,-0.138368,-9.660259,-0.002238,-0.000162,-0.001237,-585.628723,-323.350281,977.369080
0.018639,-0.038162,-9.696048,-0.002138,0.001004,-0.005398,-585.628723,-323.350281,977.369080
0.004324,-0.088265,-9.624472,0.001158,0.004099,-0.009559,-585.628723,-323.350281,977.369080
-0.024306,-0.088265,-9.624472,-0.001073,0.003999,-0.011590,-587.085022,-326.306030,977.391846
-0.045779,-0.009532,-9.645944,-0.000973,-0.000362,0.001294,-587.085022,-326.306030,977.391846
0.025797,-0.202786,-9.653102,-0.004069,-0.000262,0.006520,-587.085022,-326.306030,977.391846
0.004324,-0.181313,-9.674574,-0.001838,-0.002292,0.010681,-587.085022,-326.306030,977.391846
0.054427,-0.038162,-9.581527,-0.002804,0.001004,-0.000072,-587.085022,-326.306030,977.391846
0.032954,-0.081108,-9.617313,-0.001638,0.003034,-0.003168,-587.085022,-326.306030,977.391846
-0.002834,-0.073950,-9.703205,0.000592,0.003999,-0.006264,-587.085022,-326.306030,977.391846
0.018639,-0.102580,-9.624472,0.003688,0.003899,-0.006164,-587.085022,-326.306030,977.391846
0.004324,-0.066793,-9.688890,0.007849,0.000604,-0.001802,-587.085022,-326.306030,977.391846
0.018639,-0.102580,-9.545738,0.007749,-0.000562,0.002559,-593.184570,-318.733856,971.479004
0.018639,-0.145526,-9.602999,0.003388,-0.000462,0.001394,-593.184570,-318.733856,971.479004
-0.002834,0.040571,-9.595841,-0.002038,-0.002492,0.003424,-593.184570,-318.733856,971.479004
0.047269,-0.102580,-9.610157,-0.007265,-0.004523,0.004389,-593.184570,-318.733856,971.479004
0.025797,-0.102580,-9.595841,-0.003969,-0.005488,0.007485,-593.184570,-318.733856,971.479004
0.025797,-0.102580,-9.645944,-0.002804,-0.002192,-0.000072,-593.184570,-318.733856,971.479004
-0.017149,-0.116895,-9.560054,-0.001638,-0.001027,0.000028,-593.184570,-318.733856,971.479004
-0.017149,-0.066793,-9.645944,-0.003669,0.002269,-0.000072,-593.184570,-318.733856,971.479004
0.061584,-0.124053,-9.574368,-0.001438,0.000038,0.001094,-593.184570,-318.733856,971.479004
0.040112,-0.066793,-9.581527,0.000792,0.003134,0.000994,-593.184570,-318.733856,971.479004
0.090215,-0.073950,-9.653102,0.001758,0.003034,0.001959,-591.639893,-326.224365,978.952271
0.004324,-0.102580,-9.538581,0.000592,0.005065,0.002924,-591.639893,-326.224365,978.952271
0.018639,-0.073950,-9.567211,-0.000573,0.009226,0.000694,-591.639893,-326.224365,978.952271
0.054427,-0.052477,-9.631629,0.004854,0.004865,0.002724,-591.639893,-326.224365,978.952271
0.040112,-0.081108,-9.574368,0.005819,0.003699,0.001559,-591.639893,-326.224365,978.952271
0.061584,-0.102580,-9.581527,0.004654,-0.005988,0.000394,-591.639893,-326.224365,978.952271
0.011482,-0.116895,-9.660259,-0.001838,-0.004823,-0.002902,-591.639893,-326.224365,978.952271
-0.002834,-0.095423,-9.645944,-0.005999,-0.003658,-0.002802,-591.639893,-326.224365,978.952271
0.011482,-0.023847,-9.631629,-0.003769,0.001769,0.001559,-591.639893,-326.224365,978.952271
-0.002834,-0.109738,-9.645944,0.001658,0.005930,0.002524,-591.639893,-326.224365,978.952271
0.011482,-0.073950,-9.667418,0.007949,0.009026,0.001359,-591.646606,-324.731781,977.453491
0.032954,-0.095423,-9.602999,0.009980,0.006795,-0.001937,-591.646606,-324.731781,977.453491
0.025797,-0.124053,-9.574368,0.007749,0.003499,-0.006098,-591.646606,-324.731781,977.453491
-0.009991,-0.124053,-9.645944,0.002323,-0.002992,-0.001737,-591.646606,-324.731781,977.453491
0.025797,-0.138368,-9.581527,0.001158,-0.007154,0.001559,-591.646606,-324.731781,977.453491
0.040112,-0.195629,-9.617313,0.005319,-0.005988,0.003589,-591.646606,-324.731781,977.453491
-0.002834,-0.145526,-9.653102,0.008415,-0.002692,0.002424,-591.646606,-324.731781,977.453491
0.011482,-0.138368,-9.674574,0.004054,-0.000462,-0.000872,-591.646606,-324.731781,977.453491
-0.031464,-0.095423,-9.660259,-0.000308,-0.001427,0.002424,-591.646606,-324.731781,977.453491
-0.031464,-0.095423,-9.645944,-0.002338,-0.000262,0.001259,-591.646606,-324.731781,977.453491
0.040112,-0.031005,-9.660259,0.000958,0.000904,0.001159,-594.626709,-320.196014,968.505066
0.032954,-0.066793,-9.588684,-0.002338,-0.001327,0.001059,-594.626709,-320.196014,968.505066
0.032954,-0.131211,-9.667418,-0.002238,-0.003358,0.004155,-594.626709,-320.196014,968.505066
0.054427,-0.116895,-9.645944,-0.003204,-0.003258,0.000859,-594.626709,-320.196014,968.505066
0.011482,-0.124053,-9.631629,-0.003104,0.002169,-0.003502,-594.626709,-320.196014,968.505066
0.004324,-0.145526,-9.610157,0.000192,0.004199,-0.005533,-594.626709,-320.196014,968.505066
-0.031464,-0.188471,-9.602999,0.000092,0.005165,-0.000106,-594.626709,-320.196014,968.505066
0.004324,-0.116895,-9.602999,0.004254,0.003999,0.001059,-594.626709,-320.196014,968.505066
0.040112,-0.073950,-9.653102,0.003088,0.003899,0.005220,-594.626709,-320.196014,968.505066
0.004324,-0.059635,-9.717521,0.002988,0.002734,0.007251,-594.626709,-320.196014,968.505066
0.032954,-0.066793,-9.638787,-0.000308,0.000504,0.003955,-582.557617,-324.896057,975.830444
-0.002834,-0.023847,-9.574368,0.001923,-0.000662,-0.002537,-582.557617,-324.896057,975.830444
-0.038621,-0.102580,-9.617313,0.001823,-0.001627,-0.007764,-582.557617,-324.896057,975.830444
0.040112,-0.152683,-9.545738,0.002788,-0.000462,-0.004468,-582.557617,-324.896057,975.830444
-0.017149,-0.095423,-9.696048,0.000558,0.001769,-0.002237,-582.557617,-324.896057,975.830444
0.004324,-0.131211,-9.602999,-0.004869,0.004865,0.002124,-582.557617,-324.896057,975.830444
0.075900,-0.109738,-9.581527,-0.006899,0.003699,0.003089,-582.557617,-324.896057,975.830444
0.011482,-0.088265,-9.653102,-0.009995,-0.001727,0.000859,-582.557617,-324.896057,975.830444
